Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.8630713189,4.06584854181,0.0133273117289,0.0,4.58992532963,8.1892,12.5598733675,3.45021110134,3.33988,5.76978226615
 01/01  02:00:00,14.9209786105,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9436936823,0.0,0.0,0.0,1.52997510988,7.4902,3.93197377275,0.0,3.33988,0.592093772754
 01/01  04:00:00,14.9543194751,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1128995032,0.0,0.0,0.0,1.52997510988,7.4902,3.93192792207,0.0,3.33988,0.592047922071
 01/01  06:00:00,22.932032802,4.06584854181,0.0,0.0,4.58992532963,8.1892,26.3485889031,17.9788889031,8.3497,0.02
 01/01  07:00:00,38.9135436849,4.06584854181,0.0352008686858,0.0,9.17985065927,19.4245,32.3914326094,12.2302703365,16.6994,3.46176227289
 01/01  08:00:00,43.2129708661,4.06584854181,0.0335450219712,0.0,9.17985065927,26.9147,29.0852664261,0.0,25.0491,4.03616642608
 01/01  09:00:00,42.1873196899,4.06584854181,0.0244133080174,0.0,9.17985065927,26.9147,36.8615454861,0.0,33.3988,3.46274548606
 01/01  10:00:00,34.7035407401,4.06584854181,0.00439216837965,0.0,9.17985065927,19.4245,28.5456202413,0.0333493527866,25.0491,3.46317088853
 01/01  11:00:00,43.8100263575,4.06584854181,1.5811125319,0.0,9.17985065927,26.9147,53.3287755914,0.0,41.7485,11.5802755914
 01/01  12:00:00,49.4331766064,4.06584854181,6.43766360897,0.0,9.17985065927,26.9147,53.3294838332,0.0,41.7485,11.5809838332
 01/01  13:00:00,51.435038701,4.06584854181,9.0752584967,0.0,9.17985065927,26.9147,50.9964015873,0.0,41.7485,9.24790158733
 01/01  14:00:00,43.2242213471,4.06584854181,8.42900925998,0.0,9.17985065927,19.4245,42.6467927606,0.0,33.3988,9.24799276058
 01/01  15:00:00,42.5615135136,4.06584854181,7.75996945484,0.0,9.17985065927,19.4245,31.9754500606,0.0,25.0491,6.92635006057
 01/01  16:00:00,42.4289465705,4.06584854181,7.62055235593,0.0,9.17985065927,19.4245,40.3257203014,0.0,33.3988,6.92692030142
 01/01  17:00:00,51.063993465,4.06584854181,8.77123004527,0.0,9.17985065927,26.9147,57.0257401907,0.0,50.0982,6.92754019075
 01/01  18:00:00,52.1946837333,4.06584854181,7.80562147585,0.0,9.17985065927,26.9147,59.3491344725,0.0,50.0982,9.25093447246
 01/01  19:00:00,54.3879479828,4.06584854181,7.92767514986,0.0,9.17985065927,26.9147,61.6792789595,0.0,50.0982,11.5810789595
 01/01  20:00:00,45.5618563702,4.06584854181,6.43857986709,0.0,9.17985065927,19.4245,44.9790350362,0.0,33.3988,11.5802350362
 01/01  21:00:00,44.922100106,4.06584854181,5.81785110276,0.0,9.17985065927,19.4245,42.6481162577,0.0,33.3988,9.24931625767
 01/01  22:00:00,41.8819777643,4.06584854181,2.87533303328,0.0,9.17985065927,19.4245,36.6300689677,0.0,25.0491,11.5809689677
 01/01  23:00:00,39.6051323352,4.06584854181,0.730925007761,0.0,9.17985065927,19.4245,25.9477004978,0.0,16.6994,9.2483004978
 01/01  24:00:00,39.7155360882,4.06584854181,0.0754558476284,0.0,9.17985065927,19.4245,12.9645520874,0.0,8.3497,4.61485208743
 01/02  01:00:00,22.9282820752,4.06584854181,0.0,0.0,4.58992532963,8.1892,8.72403935223,0.193908623493,3.33988,5.19025072874
 01/02  02:00:00,15.0258386024,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,15.0479906896,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,15.050056595,0.0,0.0,0.0,1.52997510988,7.4902,3.93194897653,0.0,3.33988,0.592068976532
 01/02  05:00:00,15.2209475617,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,23.0751968171,4.06584854181,0.0,0.0,4.58992532963,8.1892,9.1065524861,0.164777602822,8.3497,0.592074883275
 01/02  07:00:00,39.1187869858,4.06584854181,0.080131384871,0.0,9.17985065927,19.4245,20.1618047901,0.0,16.6994,3.46240479005
 01/02  08:00:00,45.8902175668,4.06584854181,2.59735239701,0.0,9.17985065927,26.9147,38.9714133266,0.0,25.0491,13.9223133266
 01/02  09:00:00,47.2036307371,4.06584854181,4.95972626486,0.0,9.17985065927,26.9147,46.1491589868,0.0,33.3988,12.7503589868
 01/02  10:00:00,41.5901985981,4.06584854181,6.81683186015,0.0,9.17985065927,19.4245,35.4625099843,0.0,25.0491,10.4134099843
 01/02  11:00:00,50.2538878604,4.06584854181,7.9818284589,0.0,9.17985065927,26.9147,50.9939175026,0.0,41.7485,9.24541750256
 01/02  12:00:00,52.4532715802,4.06584854181,9.4822487261,0.0,9.17985065927,26.9147,52.1607135066,0.0,41.7485,10.4122135066
 01/02  13:00:00,53.3336897619,4.06584854181,11.0140636567,0.0,9.17985065927,26.9147,50.9938963124,0.0,41.7485,9.24539631241
 01/02  14:00:00,45.1500586765,4.06584854181,10.3730426287,0.0,9.17985065927,19.4245,41.485189071,0.0,33.3988,8.08638907096
 01/02  15:00:00,44.022731922,4.06584854181,9.22929906645,0.0,9.17985065927,19.4245,31.9755143344,0.0,25.0491,6.92641433444
 01/02  16:00:00,42.802270429,4.06584854181,8.00606254062,0.0,9.17985065927,19.4245,40.325262004,0.0,33.3988,6.92646200396
 01/02  17:00:00,51.058377058,4.06584854181,8.78215767978,0.0,9.17985065927,26.9147,57.0253924932,0.0,50.0982,6.92719249321
 01/02  18:00:00,53.5638255361,4.06584854181,9.18591158693,0.0,9.17985065927,26.9147,59.346413761,0.0,50.0982,9.24821376099
 01/02  19:00:00,57.8797446913,4.06584854181,11.3902016511,0.0,9.17985065927,26.9147,62.8488206014,0.0,50.0982,12.7506206014
 01/02  20:00:00,48.5699040731,4.06584854181,9.3929621488,0.0,9.17985065927,19.4245,47.3204187428,0.0,33.3988,13.9216187428
 01/02  21:00:00,46.5626820233,4.06584854181,7.41220467921,0.0,9.17985065927,19.4245,44.9764929,0.0,33.3988,11.5776929
 01/02  22:00:00,42.100962348,4.06584854181,3.05834584761,0.0,9.17985065927,19.4245,37.2189915617,0.0,25.0491,12.1698915617
 01/02  23:00:00,39.3602109384,4.06584854181,0.495943397559,0.0,9.17985065927,19.4245,27.1144808831,0.0,16.6994,10.4150808831
 01/02  24:00:00,39.6027555578,4.06584854181,0.0,0.0,9.17985065927,19.4245,14.7735767596,0.0793967219598,8.3497,6.34448003768
 01/03  01:00:00,22.869912739,4.06584854181,0.0,0.0,4.58992532963,8.1892,8.20708167664,0.253160454459,3.33988,4.61404122218
 01/03  02:00:00,14.9695394879,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.9950405766,0.0,0.0,0.0,1.52997510988,7.4902,3.93197171116,0.0,3.33988,0.592091711165
 01/03  04:00:00,15.005545265,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.7536750574,0.0,0.0,0.0,1.52997510988,7.4902,3.93192584991,0.0,3.33988,0.592045849912
 01/03  06:00:00,23.5691831042,4.06584854181,0.0,0.0,4.58992532963,8.1892,15.6745701752,7.30487017519,8.3497,0.02
 01/03  07:00:00,39.2341700543,4.06584854181,0.0401786091755,0.0,9.17985065927,19.4245,24.2177683849,3.48228454614,16.6994,4.03608383873
 01/03  08:00:00,43.2743972406,4.06584854181,0.0549294972686,0.0,9.17985065927,26.9147,38.4122219233,0.0160687317697,25.0491,13.3470531916
 01/03  09:00:00,42.2475343728,4.06584854181,0.0563849216105,0.0,9.17985065927,26.9147,46.1499939674,0.0,33.3988,12.7511939674
 01/03  10:00:00,34.715292038,4.06584854181,0.0,0.0,9.17985065927,19.4245,35.4832865326,0.0217906569218,25.0491,10.4123958757
 01/03  11:00:00,43.6371737771,4.06584854181,1.40924571335,0.0,9.17985065927,26.9147,50.9982680174,0.0,41.7485,9.24976801739
 01/03  12:00:00,48.4730507491,4.06584854181,5.51171286973,0.0,9.17985065927,26.9147,52.161042883,0.0,41.7485,10.412542883
 01/03  13:00:00,50.1307070111,4.06584854181,7.81628855102,0.0,9.17985065927,26.9147,50.9978387849,0.0,41.7485,9.24933878486
 01/03  14:00:00,40.3810251289,4.06584854181,5.63080610082,0.0,9.17985065927,19.4245,41.4848407177,0.0,33.3988,8.08604071774
 01/03  15:00:00,36.0787036133,4.06584854181,1.34997507288,0.0,9.17985065927,19.4245,31.9767735687,0.0,25.0491,6.92767356872
 01/03  16:00:00,34.7657250189,4.06584854181,0.0483113173773,0.0,9.17985065927,19.4245,40.9013691723,0.0,33.3988,7.50256917232
 01/03  17:00:00,43.3858919512,4.06584854181,1.17753896386,0.0,9.17985065927,26.9147,57.0248266168,0.0,50.0982,6.92662661677
 01/03  18:00:00,46.30928354,4.06584854181,1.983750995,0.0,9.17985065927,26.9147,59.3451787671,0.0,50.0982,9.24697876706
 01/03  19:00:00,50.8145459793,4.06584854181,4.37033557015,0.0,9.17985065927,26.9147,62.8485962203,0.0,50.0982,12.7503962203
 01/03  20:00:00,43.2037563071,4.06584854181,4.2497008782,0.0,9.17985065927,19.4245,46.7402043924,0.0,33.3988,13.3414043924
 01/03  21:00:00,42.5496013814,4.06584854181,3.63788850606,0.0,9.17985065927,19.4245,44.982910229,0.0,33.3988,11.584110229
 01/03  22:00:00,39.6440833373,4.06584854181,0.804334556465,0.0,9.17985065927,19.4245,37.8006534016,0.0,25.0491,12.7515534016
 01/03  23:00:00,38.8530981454,4.06584854181,0.0277238047302,0.0,9.17985065927,19.4245,27.1122471854,0.0,16.6994,10.4128471854
