Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1000.46509284,97.4919360642,612.071798379,0.0,34.9616554283,113.312780494,502.288650901,487.918798649,5.66466996096,8.70518229037
 01/01  02:00:00,1029.77196134,97.4919360642,643.260822554,0.0,34.9616554283,113.312780494,532.320746064,509.265273333,5.66466996096,17.3908027702
 01/01  03:00:00,1026.86237894,97.4919360642,640.419438858,0.0,34.9616554283,113.312780494,531.212568303,516.842446376,5.66466996096,8.70545196635
 01/01  04:00:00,1025.4764519,97.4919360642,639.046805588,0.0,34.9616554283,113.312780494,546.987284107,523.931516121,5.66466996096,17.3910980248
 01/01  05:00:00,1037.33817596,97.4919360642,640.794049489,0.0,44.4937663224,113.312780494,534.215763221,519.845524819,5.66466996096,8.70556844099
 01/01  06:00:00,1035.4454334,97.4919360642,638.807203803,0.0,44.4937663224,113.312780494,555.734735964,524.181753082,14.1616749024,17.3913079802
 01/01  07:00:00,1104.09025615,97.4919360642,634.124824355,0.0,54.0258772165,176.889270242,501.423977818,464.394953863,28.3233498048,8.70567415027
 01/01  08:00:00,1089.30363133,97.4919360642,622.919949166,0.0,54.0258772165,184.38654557,518.859719263,458.98318302,42.4850247072,17.3915115364
 01/01  09:00:00,1152.88634953,97.4919360642,610.110944914,0.0,65.1572554096,220.04316451,505.748173048,431.642250845,56.6466996096,17.4592225936
 01/01  10:00:00,1131.9016534,97.4919360642,595.682217273,0.0,65.1572554096,212.545889182,467.572859134,407.553658153,42.4850247072,17.5341762736
 01/01  11:00:00,1117.69391224,97.4919360642,572.516086027,0.0,65.1572554096,220.04316451,495.506012323,398.302198971,70.808374512,26.39543884
 01/01  12:00:00,1101.45426312,97.4919360642,554.034260899,0.0,65.1572554096,220.04316451,476.575534239,379.369219208,70.808374512,26.3979405185
 01/01  13:00:00,1095.83420931,97.4919360642,549.141402175,0.0,65.1572554096,220.04316451,464.399764993,367.194594554,70.808374512,26.396795927
 01/01  14:00:00,1085.34986278,97.4919360642,545.772918399,0.0,65.1572554096,212.545889182,438.853110794,355.810749289,56.6466996096,26.3956618951
 01/01  15:00:00,1083.28327141,97.4919360642,543.542473623,0.0,65.1572554096,212.545889182,405.628687259,336.749131168,42.4850247072,26.3945313835
 01/01  16:00:00,1083.92091107,97.4919360642,544.303679306,0.0,65.1572554096,212.545889182,412.624857872,329.579630327,56.6466996096,26.3985279359
 01/01  17:00:00,1062.47173501,97.4919360642,548.525562642,0.0,65.1572554096,220.04316451,438.069836034,326.702422389,84.9700494144,26.3973642308
 01/01  18:00:00,1030.01687278,97.4919360642,555.534596025,0.0,54.0258772165,184.38654557,453.781977985,351.276455267,84.9700494144,17.5354733031
 01/01  19:00:00,1009.84436607,97.4919360642,558.214478862,0.0,44.4937663224,163.454314868,492.494597583,390.132414649,84.9700494144,17.39213352
 01/01  20:00:00,1005.04583843,97.4919360642,560.259952889,0.0,44.4937663224,155.95703954,460.593322663,395.240498053,56.6466996096,8.70612500063
