Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6874126415,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6472707826,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6398703355,0.0,0.0,0.0,15.863942322,29.242365,6.08813070786,0.0,3.20568,2.88245070786
 01/01  04:00:00,55.6359629594,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8629000044,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8440823145,0.0,0.0,0.0,15.863942322,29.242365,6.08809636426,0.0,3.20568,2.88241636426
 01/01  07:00:00,55.8565355986,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,48.6511711546,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.2397727267,0.0,0.0,0.0,15.863942322,29.242365,6.08939762727,0.0,3.20568,2.88371762727
 01/01  10:00:00,47.2848263813,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.3195710541,0.0,0.0,0.0,15.863942322,29.242365,6.08948687777,0.0,3.20568,2.88380687777
 01/01  12:00:00,48.0462454599,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.3740867946,0.0,0.0,0.0,15.863942322,29.242365,6.08937624809,0.0,3.20568,2.88369624809
 01/01  14:00:00,47.4168005975,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.4411012319,0.0,0.0,0.0,15.863942322,29.242365,6.08806250223,0.0,3.20568,2.88238250223
 01/01  16:00:00,47.4415069865,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.341602811,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,50.1771546092,0.0,0.0,0.0,15.863942322,29.242365,6.08816215476,0.0,3.20568,2.88248215476
 01/01  19:00:00,55.8743711808,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,56.134420879,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,56.103193686,0.0,0.0,0.0,15.863942322,29.242365,6.08812808757,0.0,3.20568,2.88244808757
 01/01  22:00:00,55.9440152234,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.7406646423,0.0,0.0,0.0,15.863942322,29.242365,6.0880940271,0.0,3.20568,2.8824140271
