Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.044241692,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.966382876,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.956327692,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.95322608,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.411080213,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.377498707,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.406170274,0.0,0.0,0.0,43.513341876,52.539744,13.4431463405,0.0,4.83426,8.60888634051
 01/01  08:00:00,103.350152166,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.400953171,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.488808931,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.557982539,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.451469068,0.0,0.0,0.0,43.513341876,52.539744,13.4506332841,0.0,4.83426,8.61637328409
 01/01  13:00:00,100.658314353,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.734817231,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.774511121,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,327.706708642,1.86668350287,222.735985427,0.0,43.513341876,52.539744,13.4446719617,0.0,4.83426,8.61041196171
 01/01  17:00:00,329.081955007,2.09962398326,224.038330813,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,106.485674695,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.39533282,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.916336472,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.857330633,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.547154959,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,118.145195975,0.0,0.0,0.0,43.513341876,52.539744,13.4446102519,0.0,4.83426,8.61035025193
 01/01  24:00:00,118.963938736,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,118.137458486,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,118.138263336,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,118.138006686,0.0,0.0,0.0,43.513341876,52.539744,13.4506708145,0.0,4.83426,8.61641081449
 01/02  04:00:00,118.137558392,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.66490323,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.630588988,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,805.884982544,73.1504643536,603.679112028,0.0,43.513341876,53.238744,13.4505007961,0.0,4.83426,8.61624079615
 01/02  08:00:00,967.015708047,73.0449310632,602.791698112,0.0,220.879908,53.238744,22.3339632881,0.0,4.83426,17.4997032881
 01/02  09:00:00,1058.54470997,75.2387027185,602.064743563,0.0,220.879908,145.652643033,62.6589863182,0.00489634874047,36.25695,26.3971399695
 01/02  10:00:00,1091.24331419,76.4738192646,632.424935865,0.0,220.879908,145.652643033,71.7717036914,0.0,36.25695,35.5147536914
 01/02  11:00:00,1113.30547718,77.2948962121,647.322793804,0.0,220.879908,151.653867033,83.89694488,0.0,48.3426,35.55434488
 01/02  12:00:00,1109.56690224,77.8554699227,642.667552688,0.0,220.879908,151.653867033,84.009836601,0.0,48.3426,35.667236601
 01/02  13:00:00,1090.53992199,78.3871129876,624.296194547,0.0,220.879908,151.653867033,93.0337223571,0.0,48.3426,44.6911223571
 01/02  14:00:00,1099.91987106,80.3582776048,637.531984209,0.0,220.879908,145.652643033,68.9405497102,0.011098384978,24.1713,44.7581513252
 01/02  15:00:00,1126.33135184,84.2503817773,659.972515896,0.0,220.879908,145.652643033,59.6945953315,0.0,24.1713,35.5232953315
 01/02  16:00:00,1139.73781448,85.3452640443,680.220290819,0.0,220.879908,137.835547516,40.4149057549,0.0,4.83426,35.5806457549
 01/02  17:00:00,1171.87034424,78.3185529727,724.826597678,0.0,220.879908,133.019064,31.3522647686,0.0129986169363,4.83426,26.5050061516
 01/02  18:00:00,1064.82868193,75.0178546346,695.451828715,0.0,220.879908,53.238744,40.1645566337,0.0,4.83426,35.3302966337
 01/02  19:00:00,1071.26291198,74.4295260988,690.474623931,0.0,220.879908,53.238744,40.2783638505,0.0,4.83426,35.4441038505
 01/02  20:00:00,1064.14796234,74.1159317812,683.396863368,0.0,220.879908,53.238744,13.5110597072,0.0,4.83426,8.67679970724
 01/02  21:00:00,1044.61735132,73.8320197545,664.726082752,0.0,220.879908,53.238744,13.5018396029,0.0,4.83426,8.66757960291
 01/02  22:00:00,118.604480789,0.0,0.0,0.0,43.513341876,52.539744,13.5015963966,0.0,4.83426,8.66733639663
 01/02  23:00:00,118.205275919,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,119.028343102,0.0,0.0,0.0,43.513341876,52.539744,13.4626037922,0.0,4.83426,8.62834379219
 01/03  01:00:00,118.138511072,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,118.122346041,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.116135233,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,118.110521935,0.0,0.0,0.0,43.513341876,52.539744,13.4506030963,0.0,4.83426,8.61634309633
 01/03  05:00:00,120.550616039,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,120.137403058,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,638.584364554,73.0550924494,439.5019918,0.0,43.513341876,53.238744,112.557277421,107.703017421,4.83426,0.02
 01/03  08:00:00,782.191299804,73.0449310632,418.500472584,0.0,220.879908,53.238744,90.9173731993,68.5815585929,4.83426,17.5015546064
 01/03  09:00:00,1020.16213788,74.5299816192,567.405337764,0.0,220.879908,145.652643033,62.6594611343,0.0,36.25695,26.4025111343
 01/03  10:00:00,1050.2059331,75.6194726112,595.442292542,0.0,220.879908,145.652643033,71.7752222213,0.0,36.25695,35.5182722213
 01/03  11:00:00,1063.74674854,76.4154033503,601.572421242,0.0,220.879908,151.653867033,89.3767032146,0.0,48.3426,41.0341032146
 01/03  12:00:00,1093.78403285,77.3115918511,629.25505346,0.0,220.879908,151.653867033,87.4307593792,0.0,48.3426,39.0881593792
 01/03  13:00:00,1096.14216265,78.1086546887,631.704402653,0.0,220.879908,151.653867033,93.0332280347,0.0,48.3426,44.6906280347
 01/03  14:00:00,1075.99766183,78.8645947544,617.068802365,0.0,220.879908,145.652643033,68.9416840164,0.0121727094008,24.1713,44.758211307
 01/03  15:00:00,1053.47101337,78.7974743569,595.330763337,0.0,220.879908,145.652643033,59.6986717948,0.0,24.1713,35.5273717948
 01/03  16:00:00,1051.01940646,78.5889880593,601.115234423,0.0,220.879908,137.835547516,40.4244340332,0.00841672561452,4.83426,35.5817573076
 01/03  17:00:00,1077.00957464,75.3388149064,635.337331374,0.0,220.879908,133.019064,31.3492619268,0.0128126448344,4.83426,26.5021892819
 01/03  18:00:00,998.516094418,73.5894639795,633.119312658,0.0,220.879908,53.238744,40.1691563861,0.0,4.83426,35.3348963861
 01/03  19:00:00,1014.24181422,73.3630955421,637.184812972,0.0,220.879908,53.238744,31.4247477416,0.0,4.83426,26.5904877416
 01/03  20:00:00,1027.42288732,73.3136465926,650.060982003,0.0,220.879908,53.238744,13.5103554514,0.0,4.83426,8.67609545137
 01/03  21:00:00,988.524650403,73.251876888,611.873107813,0.0,220.879908,53.238744,13.5018888123,0.0,4.83426,8.66762881234
 01/03  22:00:00,118.120642904,0.0,0.0,0.0,43.513341876,52.539744,13.502017887,0.0,4.83426,8.66775788698
 01/03  23:00:00,118.146184192,0.0,0.0,0.0,43.513341876,52.539744,13.4717556307,0.0,4.83426,8.6374956307
 01/03  24:00:00,119.017189913,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  01:00:00,118.12642182,0.0,0.0,0.0,43.513341876,52.539744,13.4505766903,0.0,4.83426,8.61631669029
 01/04  02:00:00,118.089977488,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,118.059499324,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,118.035511055,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.488859088,0.0,0.0,0.0,43.513341876,52.539744,13.4507041948,0.0,4.83426,8.61644419485
 01/04  06:00:00,118.415678391,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  07:00:00,320.353185191,73.0449310632,125.422371265,0.0,43.513341876,53.238744,277.091183039,272.236923039,4.83426,0.02
 01/04  08:00:00,437.620544569,73.0449310632,76.9340868097,0.0,220.879908,53.238744,245.53270706,223.197868898,4.83426,17.5005781617
 01/04  09:00:00,541.389295548,74.1162933869,92.8554375429,0.0,220.879908,145.652643033,147.689665823,85.0340225517,36.25695,26.3986932714
 01/04  10:00:00,648.996950335,76.0785384309,197.645737057,0.0,220.879908,145.652643033,79.1815579591,7.40938955449,36.25695,35.5152184046
 01/04  11:00:00,778.029198775,77.6562075246,318.772498662,0.0,220.879908,151.653867033,83.8971709983,0.0,48.3426,35.5545709983
 01/04  12:00:00,865.999546477,79.6901349944,403.634489796,0.0,220.879908,151.653867033,92.9266771533,0.0,48.3426,44.5840771533
 01/04  13:00:00,958.984673036,81.612655579,495.066907405,0.0,220.879908,151.653867033,93.0362543575,0.0,48.3426,44.6936543575
 01/04  14:00:00,1007.9240145,83.0910332894,548.065930994,0.0,220.879908,145.652643033,60.0028915599,0.0186808017282,24.1713,35.8129107581
 01/04  15:00:00,962.66345179,84.1072438607,502.237955123,0.0,220.879908,145.652643033,61.275100102,0.0178384547494,24.1713,37.0859616473
 01/04  16:00:00,926.575363804,84.1784854758,474.002341768,0.0,220.879908,137.835547516,47.7560601038,0.00493150905314,4.83426,42.9168685947
 01/04  17:00:00,798.573477852,78.2542524282,356.718995059,0.0,220.879908,133.019064,31.3542661489,0.015357985561,4.83426,26.5046481634
 01/04  18:00:00,562.861155349,74.3524826439,199.410132412,0.0,220.879908,53.238744,37.4735048826,6.13116691479,4.83426,26.5080779678
 01/04  19:00:00,484.973877428,73.5329597981,111.218860164,0.0,220.879908,53.238744,87.7477195572,47.4655188047,4.83426,35.4479407525
 01/04  20:00:00,412.206689486,73.1851556367,39.5024888682,0.0,220.879908,53.238744,108.149201429,94.6383576827,4.83426,8.67658374602
 01/04  21:00:00,369.911360211,73.0952550495,0.0,0.0,220.879908,53.238744,184.054172977,170.554331686,4.83426,8.66558129095
 01/04  22:00:00,118.048989468,0.0,0.0,0.0,43.513341876,52.539744,13.5020574953,0.0,4.83426,8.66779749531
 01/04  23:00:00,117.818038317,0.0,0.0,0.0,43.513341876,52.539744,13.471581281,0.0,4.83426,8.63732128101
 01/04  24:00:00,118.791169449,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  01:00:00,117.865932747,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  02:00:00,117.852347108,0.0,0.0,0.0,43.513341876,52.539744,13.4506014954,0.0,4.83426,8.6163414954
 01/05  03:00:00,117.84558598,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.839076006,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  05:00:00,118.253320668,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  06:00:00,118.202496358,0.0,0.0,0.0,43.513341876,52.539744,13.4507363158,0.0,4.83426,8.61647631579
 01/05  07:00:00,192.151141053,73.0449310632,0.00307735954078,0.0,43.513341876,53.238744,773.673459982,768.819199982,4.83426,0.02
 01/05  08:00:00,358.207329191,73.0449310632,0.0,0.0,220.879908,53.238744,912.809193794,890.472961677,4.83426,17.5019721168
 01/05  09:00:00,444.924042684,73.1997629951,0.00213309425228,0.0,220.879908,145.652643033,800.759933897,738.101257574,36.25695,26.4017263236
 01/05  10:00:00,445.300706248,73.8570902765,0.00281265320779,0.0,220.879908,145.652643033,666.293784247,594.513811633,36.25695,35.5230226138
 01/05  11:00:00,452.350396364,75.1319309804,0.00201643609454,0.0,220.879908,151.653867033,519.825266264,435.925564083,48.3426,35.5571021812
 01/05  12:00:00,458.18907581,76.8982188303,2.87630320643,0.0,220.879908,151.653867033,368.291167153,275.361441793,48.3426,44.5871253601
 01/05  13:00:00,473.414198757,78.4267364139,15.5679443198,0.0,220.879908,151.653867033,293.482299213,209.379525882,48.3426,35.7601733309
 01/05  14:00:00,498.729076906,80.1145978647,44.8638708265,0.0,220.879908,145.652643033,238.074350067,169.139074437,24.1713,44.7639756299
 01/05  15:00:00,571.227586307,81.5406205617,115.682322229,0.0,220.879908,145.652643033,170.69807642,110.993665264,24.1713,35.5331111564
 01/05  16:00:00,605.166944506,81.9921839386,156.956915824,0.0,220.879908,137.835547516,123.905772926,74.5993328973,4.83426,44.4721800289
 01/05  17:00:00,574.614932553,77.624199914,135.926155838,0.0,220.879908,133.019064,55.4379445504,24.0935034014,4.83426,26.5101811489
 01/05  18:00:00,425.154219211,74.1673789399,64.4993639516,0.0,220.879908,53.238744,115.006034261,83.6633302909,4.83426,26.5084439699
 01/05  19:00:00,369.658904052,73.3009969525,0.0,0.0,220.879908,53.238744,253.42299309,213.141071998,4.83426,35.4476610916
 01/05  20:00:00,369.918288287,73.0983746069,0.0,0.0,220.879908,53.238744,365.551767366,352.041278594,4.83426,8.67622877207
 01/05  21:00:00,369.874027095,73.0509130386,0.0,0.0,220.879908,53.238744,430.293106374,416.791231781,4.83426,8.66761459279
 01/05  22:00:00,117.889619737,0.0,0.0,0.0,43.513341876,52.539744,13.5016652294,0.0,4.83426,8.66740522945
 01/05  23:00:00,117.648961695,0.0,0.0,0.0,43.513341876,52.539744,13.4718359147,0.0,4.83426,8.63757591466
 01/05  24:00:00,118.66353717,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  01:00:00,117.675494312,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  02:00:00,117.66355768,0.0,0.0,0.0,43.513341876,52.539744,13.4489580241,0.0,4.83426,8.61469802405
 01/06  03:00:00,117.649881276,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  04:00:00,117.641905411,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  05:00:00,119.763295503,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  06:00:00,119.442080932,0.0,0.0,0.0,43.513341876,52.539744,13.4506332978,0.0,4.83426,8.61637329781
 01/06  07:00:00,194.076834824,73.0449310632,0.0017763284276,0.0,43.513341876,53.238744,1320.94044752,1316.08618752,4.83426,0.02
 01/06  08:00:00,358.342663365,73.0449310632,0.0,0.0,220.879908,53.238744,961.706231174,939.370385652,4.83426,17.501585522
 01/06  09:00:00,444.314189868,73.1242961461,0.0026615741321,0.0,220.879908,145.652643033,611.493056639,548.834586524,36.25695,26.4015201144
 01/06  10:00:00,470.611584154,73.7975200674,23.9734728933,0.0,220.879908,145.652643033,346.473696229,274.693761919,36.25695,35.5229843101
 01/06  11:00:00,584.764708084,75.3776643267,128.356771594,0.0,220.879908,151.653867033,134.107952611,50.1990583621,48.3426,35.566294249
 01/06  12:00:00,812.699484311,77.2006974214,352.852220022,0.0,220.879908,151.653867033,92.9518060378,0.0131850567974,48.3426,44.596020981
 01/06  13:00:00,1038.65501222,78.9746702611,577.238290011,0.0,220.879908,151.653867033,84.1085729086,0.0,48.3426,35.7659729086
 01/06  14:00:00,1125.68977895,81.2717288643,667.662764279,0.0,220.879908,145.652643033,68.947783835,0.0111453261002,24.1713,44.7653385089
 01/06  15:00:00,1134.22721351,82.9410958418,674.344730489,0.0,220.879908,145.652643033,59.7051891035,0.0,24.1713,35.5338891035
 01/06  16:00:00,1126.16957598,83.5224439865,673.629249405,0.0,220.879908,137.835547516,49.3108428502,0.0,4.83426,44.4765828502
 01/06  17:00:00,1051.80774718,78.7434149023,609.528267187,0.0,220.879908,133.019064,31.3667839251,0.0216679554408,4.83426,26.5108559697
 01/06  18:00:00,735.073841029,74.6762722222,371.116206386,0.0,220.879908,53.238744,31.3416304444,0.0,4.83426,26.5073704444
 01/06  19:00:00,601.059367972,73.7282170669,226.50938553,0.0,220.879908,53.238744,43.4407648769,3.15735805703,4.83426,35.4491468199
 01/06  20:00:00,546.160371436,73.3730301414,172.213899989,0.0,220.879908,53.238744,36.5161369385,23.0055738125,4.83426,8.67630312594
 01/06  21:00:00,526.190001867,73.1945750195,152.495655394,0.0,220.879908,53.238744,59.6958732325,46.1939270348,4.83426,8.66768619773
 01/06  22:00:00,117.916368862,0.0,0.0,0.0,43.513341876,52.539744,13.5023538134,0.0,4.83426,8.66809381342
 01/06  23:00:00,117.96223962,0.0,0.0,0.0,43.513341876,52.539744,13.4718868582,0.0,4.83426,8.63762685819
 01/06  24:00:00,118.841399013,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  01:00:00,117.938882729,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  02:00:00,117.950584587,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  03:00:00,117.94458025,0.0,0.0,0.0,43.513341876,52.539744,13.4447079826,0.0,4.83426,8.61044798263
 01/07  04:00:00,117.939394902,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  05:00:00,118.397579601,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  06:00:00,118.362905793,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  07:00:00,118.417130015,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  08:00:00,106.347963444,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  09:00:00,100.40755161,0.0,0.0,0.0,43.513341876,52.539744,13.4445792587,0.0,4.83426,8.61031925874
 01/07  10:00:00,100.567766058,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  11:00:00,100.688403613,0.0,0.0,0.0,43.513341876,52.539744,13.5360339319,0.0,4.83426,8.70177393188
 01/07  12:00:00,101.484495809,0.0,0.0,0.0,43.513341876,52.539744,13.4802905706,0.0,4.83426,8.64603057059
 01/07  13:00:00,100.68885065,0.0,0.0,0.0,43.513341876,52.539744,13.4803181449,0.0,4.83426,8.6460581449
 01/07  14:00:00,105.95401373,0.115368441173,4.96465043253,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  15:00:00,397.507047207,3.91100286025,289.262310648,0.0,43.513341876,52.539744,13.4729974625,0.0,4.83426,8.63873746254
 01/07  16:00:00,423.269599504,3.75661502293,315.414685458,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  17:00:00,338.287212912,2.93794077376,232.320562997,0.0,43.513341876,52.539744,13.4447402053,0.0,4.83426,8.61048020528
 01/07  18:00:00,194.106098858,1.16134842578,85.5477482869,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  19:00:00,118.29513676,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  20:00:00,118.712367135,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  21:00:00,118.623374837,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  22:00:00,118.359833525,0.0,0.0,0.0,43.513341876,52.539744,31.1442717749,0.0,4.83426,26.3100117749
 01/07  23:00:00,117.988933977,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  24:00:00,118.854830731,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  01:00:00,118.006770423,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  02:00:00,118.004063093,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  03:00:00,118.01245051,0.0,0.0,0.0,43.513341876,52.539744,13.444751947,0.0,4.83426,8.61049194697
 01/08  04:00:00,118.027287556,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  05:00:00,118.53338934,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  06:00:00,118.500011877,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  07:00:00,118.516702262,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  08:00:00,106.433878134,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  09:00:00,100.483537611,0.0,0.0,0.0,43.513341876,52.539744,13.4507065938,0.0,4.83426,8.61644659381
 01/08  10:00:00,100.509497213,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  11:00:00,100.469028111,0.0,0.0,0.0,43.513341876,52.539744,13.535885986,0.0,4.83426,8.70162598601
 01/08  12:00:00,101.259245798,0.0,0.0,0.0,43.513341876,52.539744,13.4808418772,0.0,4.83426,8.64658187725
 01/08  13:00:00,100.397008174,0.0,0.0,0.0,43.513341876,52.539744,13.4808766907,0.0,4.83426,8.64661669065
 01/08  14:00:00,100.455046251,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  15:00:00,100.486910239,0.0,0.0,0.0,43.513341876,52.539744,13.47462877,0.0,4.83426,8.64036877003
 01/08  16:00:00,100.467626277,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
