Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,166.850403149,48.8201666599,0.0,0.0,43.513341876,52.539744,252.168535746,247.314275746,4.83426,0.02
 01/01  02:00:00,154.269125805,36.4510687547,0.0,0.0,43.513341876,52.539744,165.021935039,160.167675039,4.83426,0.02
 01/01  03:00:00,166.006998267,47.8695340503,0.0,0.0,43.513341876,52.539744,272.717192686,267.862932686,4.83426,0.02
 01/01  04:00:00,156.79288001,38.9634611436,0.0,0.0,43.513341876,52.539744,179.791416632,174.937156632,4.83426,0.02
 01/01  05:00:00,166.215132822,47.6559969182,0.0,0.0,43.513341876,52.539744,283.53922279,270.089668673,4.83426,8.6152941174
 01/01  06:00:00,157.182792651,38.9634611436,0.0,0.0,43.513341876,52.539744,177.909152272,173.054892272,4.83426,0.02
 01/01  07:00:00,167.68615264,49.1268017581,0.0,0.0,43.513341876,52.539744,291.132528122,286.278268122,4.83426,0.02
 01/01  08:00:00,145.192899381,27.2068678203,0.0,0.0,43.513341876,52.539744,132.060969931,127.206709931,4.83426,0.02
 01/01  09:00:00,148.950661079,30.7423887841,0.0,0.0,43.513341876,52.539744,208.953468423,195.493038172,4.83426,8.62617025146
 01/01  10:00:00,150.763606596,32.7507382146,0.0,0.0,43.513341876,52.539744,138.391826061,133.537566061,4.83426,0.02
 01/01  11:00:00,137.621248151,31.3569020688,0.0,0.0,43.513341876,52.539744,218.612200483,205.151801661,4.83426,8.6261388214
 01/01  12:00:00,134.24525007,33.2449990087,0.0,0.0,43.513341876,52.539744,135.205289731,130.351029731,4.83426,0.02
 01/01  13:00:00,135.731694931,35.5537127064,0.0,0.0,43.513341876,52.539744,189.297506249,184.443246249,4.83426,0.02
 01/01  14:00:00,131.431613829,31.4036784579,0.0,0.0,43.513341876,52.539744,127.64504425,114.184594391,4.83426,8.62618985822
 01/01  15:00:00,135.189354859,34.9391994217,0.0,0.0,43.513341876,52.539744,186.47331505,181.61905505,4.83426,0.02
 01/01  16:00:00,133.730994496,27.7011286144,0.0,0.0,43.513341876,52.539744,134.311525511,129.457265511,4.83426,0.02
 01/01  17:00:00,150.998894941,32.9599369418,0.0,0.0,43.513341876,52.539744,217.431297919,212.577037919,4.83426,0.02
 01/01  18:00:00,151.565688536,33.7392598028,0.0,0.0,43.513341876,52.539744,157.628488932,144.179669726,4.83426,8.6145592061
 01/01  19:00:00,154.946502039,36.8618270715,0.0,0.0,43.513341876,52.539744,248.472945056,243.618685056,4.83426,0.02
 01/01  20:00:00,153.422063793,35.1428781129,0.0,0.0,43.513341876,52.539744,169.095096987,164.240836987,4.83426,0.02
 01/01  21:00:00,154.173277254,35.6717458937,0.0,0.0,43.513341876,52.539744,236.180709641,231.326449641,4.83426,0.02
