Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.456252527,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,118.017635515,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,116.387412388,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,114.423154772,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553711715,0.0,1.75125,1.16428711715
 01/01  05:00:00,119.748878955,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,118.168666119,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,155.490177725,25.382941973,0.00728650922964,0.0,6.98738001645,14.1499734587,100.488364061,95.8215635876,3.5025,1.16430047298
 01/01  08:00:00,164.221548281,25.382941973,0.0,0.0,6.98738001645,14.1499734587,112.479806604,108.957306604,3.5025,0.02
 01/01  09:00:00,196.496888609,25.382941973,0.00751306393458,0.0,6.98738001645,14.1499734587,94.1682748939,89.5014316903,3.5025,1.16434320353
 01/01  10:00:00,179.403343762,25.382941973,0.0,0.0,6.98738001645,14.1499734587,75.4257637618,71.9032637618,3.5025,0.02
 01/01  11:00:00,217.417163441,25.382941973,1.53328831907,0.0,27.9495200658,27.7759469175,48.460896914,40.2912229881,7.005,1.16467392593
 01/01  12:00:00,247.465192735,25.382941973,2.62334321303,0.0,27.9495200658,27.7759469175,18.7092347879,11.6842347879,7.005,0.02
 01/01  13:00:00,270.171531498,25.382941973,4.7005544244,0.0,41.9242800987,36.8599292233,10.5048318396,0.0,9.34,1.16483183958
 01/01  14:00:00,270.512160347,25.382941973,4.98005271585,0.0,41.9242800987,36.8599292233,10.5047794534,0.0,9.34,1.16477945341
 01/01  15:00:00,265.808063013,25.382941973,5.7111639276,0.0,41.9242800987,36.8599292233,10.5046701773,0.0,9.34,1.16467017733
 01/01  16:00:00,263.095350481,25.382941973,6.54548767092,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  17:00:00,262.706453092,25.382941973,7.03911588042,0.0,41.9242800987,36.8599292233,10.5048293831,0.0,9.34,1.16482938313
 01/01  18:00:00,234.970142939,25.382941973,4.48039786446,0.0,27.9495200658,27.7759469175,8.86045828261,0.69073958608,7.005,1.16471869653
 01/01  19:00:00,240.375549702,25.382941973,2.29321420214,0.0,13.9747600329,18.6919646116,8.74185747318,4.05185747318,4.67,0.02
 01/01  20:00:00,227.790705722,25.382941973,1.86115837347,0.0,13.9747600329,18.6919646116,18.3879358719,12.5533867052,4.67,1.16454916672
 01/01  21:00:00,213.755696496,25.382941973,1.5815991108,0.0,13.9747600329,18.6919646116,24.4893971057,18.6549371729,4.67,1.16445993279
 01/01  22:00:00,186.925082431,25.382941973,1.84335065767,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 01/01  23:00:00,126.381756374,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,155.812679873,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554785254,0.0,1.75125,1.16429785254
 01/02  01:00:00,136.797539376,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,127.185501978,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,126.945602605,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924595768,0.0,2.335,1.16424595768
 01/02  04:00:00,126.765672682,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,134.757551005,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,134.192666344,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,185.283618389,25.382941973,1.38538174679,0.0,13.9747600329,18.6919646116,22.5187916794,16.684566129,4.67,1.16422555042
 01/02  08:00:00,196.378539375,25.382941973,1.30006107591,0.0,13.9747600329,18.6919646116,48.1702611524,43.4802611524,4.67,0.02
 01/02  09:00:00,269.667032778,25.382941973,3.33145312285,0.0,34.9369000822,32.3179380704,36.1424863037,26.8054659366,8.1725,1.16452036705
 01/02  10:00:00,304.583262634,25.382941973,6.02671376012,0.0,62.886420148,41.4019203762,12.4032427893,1.87574278933,10.5075,0.02
 01/02  11:00:00,302.954941258,25.382941973,6.78145117213,0.0,62.886420148,41.4019203762,11.6723302187,0.0,10.5075,1.16483021874
 01/02  12:00:00,315.103150159,25.382941973,6.98887860179,0.0,62.886420148,41.4019203762,11.6727099382,0.0,10.5075,1.16520993819
 01/02  13:00:00,306.556216211,25.382941973,6.8349358089,0.0,62.886420148,41.4019203762,11.6726158658,0.0,10.5075,1.1651158658
 01/02  14:00:00,310.695466089,25.382941973,8.07275812703,0.0,62.886420148,41.4019203762,12.8178030471,0.0,10.5075,2.3103030471
 01/02  15:00:00,306.066494957,25.382941973,9.56308596882,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
