Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,93.2747552925,18.1953159209,0.0,0.0,3.49369000822,6.81298672936,28.5988176348,26.8275676348,1.75125,0.02
 01/01  02:00:00,93.4851772347,18.1953159209,0.0,0.0,3.49369000822,6.81298672936,22.8364413863,21.0651913863,1.75125,0.02
 01/01  03:00:00,87.8538155857,12.5339063133,0.00533833086679,0.0,3.49369000822,6.81298672936,20.2261749253,17.3105520709,1.75125,1.16437285438
 01/01  04:00:00,98.5405825949,23.365710339,0.00615533986965,0.0,3.49369000822,6.81298672936,33.6887031986,31.9174531986,1.75125,0.02
 01/01  05:00:00,112.912689386,30.9532440147,0.0,0.0,3.49369000822,6.81298672936,37.7116860852,35.9404360852,1.75125,0.02
 01/01  06:00:00,105.0008528,23.4971827277,0.0,0.0,3.49369000822,6.81298672936,31.6770414805,28.76143066,1.75125,1.16436082059
 01/01  07:00:00,142.391815975,47.523556342,0.0,0.0,6.98738001645,14.1499734587,470.729077824,467.206577824,3.5025,0.02
 01/01  08:00:00,151.57009106,47.523556342,0.0,0.0,6.98738001645,14.1499734587,431.930845317,427.263964856,3.5025,1.1643804608
 01/01  09:00:00,173.402553873,47.523556342,0.0,0.0,6.98738001645,14.1499734587,387.873797634,384.351297634,3.5025,0.02
 01/01  10:00:00,146.012381047,47.523556342,0.0,0.0,6.98738001645,14.1499734587,379.361796188,374.694785045,3.5025,1.16451114276
 01/01  11:00:00,180.535770652,47.523556342,0.0,0.0,27.9495200658,27.7759469175,339.845462445,331.675552198,7.005,1.16491024747
 01/01  12:00:00,211.924416795,47.523556342,0.0,0.0,27.9495200658,27.7759469175,311.896277143,303.726362258,7.005,1.16491488493
 01/01  13:00:00,219.093013746,47.523556342,0.0,0.0,41.9242800987,36.8599292233,273.929135071,263.424035267,9.34,1.16509980331
 01/01  14:00:00,216.410879702,47.523556342,0.0,0.0,41.9242800987,36.8599292233,265.430857591,254.925691595,9.34,1.16516599645
 01/01  15:00:00,212.602163122,47.523556342,0.0,0.0,41.9242800987,36.8599292233,257.221579566,246.71643864,9.34,1.16514092584
 01/01  16:00:00,209.174680323,47.523556342,0.0,0.0,41.9242800987,36.8599292233,252.318674475,241.813465558,9.34,1.1652089165
 01/01  17:00:00,212.541443809,47.523556342,0.0,0.0,41.9242800987,36.8599292233,264.423696123,253.918606042,9.34,1.16509008141
 01/01  18:00:00,194.24811467,47.523556342,0.0,0.0,27.9495200658,27.7759469175,309.826317734,301.656259972,7.005,1.16505776183
 01/01  19:00:00,200.708022906,47.523556342,0.0,0.0,13.9747600329,18.6919646116,339.621570786,333.786663208,4.67,1.16490757752
 01/01  20:00:00,180.641897908,47.523556342,0.0,0.0,13.9747600329,18.6919646116,366.105201494,360.270376486,4.67,1.16482500778
 01/01  21:00:00,171.83450956,47.523556342,0.0,0.0,13.9747600329,18.6919646116,386.359931836,381.669931836,4.67,0.02
 01/01  22:00:00,157.627037031,47.523556342,0.0,0.0,13.9747600329,18.6919646116,336.41023051,330.575648939,4.67,1.1645815717
 01/01  23:00:00,76.5845635264,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,124.878731188,12.1302106139,0.0,0.0,3.49369000822,6.81298672936,21.5642727287,18.6486750219,1.75125,1.16434770679
 01/02  01:00:00,101.85224133,18.3567942007,0.0018942546289,0.0,3.49369000822,9.08398230582,34.5058717945,32.1508717945,2.335,0.02
 01/02  02:00:00,102.032609132,24.6232269456,0.00368712944848,0.0,3.49369000822,9.08398230582,39.6254808446,37.2704808446,2.335,0.02
 01/02  03:00:00,102.544936939,25.1824875477,0.0,0.0,3.49369000822,9.08398230582,33.5720230313,30.0727008532,2.335,1.16432217811
 01/02  04:00:00,106.498566684,29.3435452359,0.0,0.0,3.49369000822,9.08398230582,47.4201904682,45.0651904682,2.335,0.02
 01/02  05:00:00,113.229229296,29.2679391947,0.0,0.0,3.49369000822,9.08398230582,45.2252961652,42.8702961652,2.335,0.02
 01/02  06:00:00,109.245461084,25.7190538073,0.0,0.0,3.49369000822,9.08398230582,36.5685466677,33.0692426554,2.335,1.16430401223
 01/02  07:00:00,156.461697995,47.523556342,0.0,0.0,13.9747600329,18.6919646116,449.176130027,444.486130027,4.67,0.02
 01/02  08:00:00,165.53603304,47.523556342,0.0,0.0,13.9747600329,18.6919646116,415.146253231,409.311707482,4.67,1.16454574961
 01/02  09:00:00,228.218238361,47.523556342,0.0,0.0,34.9369000822,32.3179380704,377.999819005,369.807319005,8.1725,0.02
 01/02  10:00:00,252.303077781,47.523556342,0.0,0.0,62.886420148,41.4019203762,327.092902062,315.420442805,10.5075,1.16495925653
 01/02  11:00:00,242.529298031,47.523556342,0.0,0.0,62.886420148,41.4019203762,298.494359236,286.821658271,10.5075,1.16520096429
 01/02  12:00:00,273.43530645,47.523556342,0.0,0.0,62.886420148,41.4019203762,274.818962632,261.999979547,10.5075,2.31148308491
 01/02  13:00:00,253.308598545,47.523556342,0.0,0.0,62.886420148,41.4019203762,259.394123739,246.574823413,10.5075,2.31180032618
 01/02  14:00:00,250.052724116,47.523556342,0.0,0.0,62.886420148,41.4019203762,242.735985757,231.062842469,10.5075,1.16564328854
 01/02  15:00:00,246.284287592,47.523556342,0.0,0.0,62.886420148,41.4019203762,232.921447672,220.102804057,10.5075,2.31114361528
